"","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"Moraxellaceae",-2.77612682389639,-4.00449539971341,-4.74422176109394,0.199448040764138
"Pseudomonadaceae",-1.18112903559328,-0.520644471118652,-1.1888108878088,0.226823497019828
"Enterobacteriaceae",-3.61571608325638,-2.53109567073061,-3.69747399568672,0.187550922355055
"Erwiniaceae",-0.121751685898427,-1.8675408468432,-1.12505617920988,0.178518201018555
"Morganellaceae",-1.05478463647052,-0.307815527976343,-0.743783130682904,0.184250960138415
"Yersiniaceae",0.75139200560551,-1.23643694109096,-0.282454469816826,0.179898837864563
"Pectobacteriaceae",1.26388015059719,0.432867151892471,0.946417460049341,0.153066558462896
"Hafniaceae",-2.52924414529942,-0.734821496917412,-2.43750657470747,0.107883557915997
"Budviciaceae",0.0702020395417187,-0.595842692388781,-0.370731087530803,0.0880053224614222
"Legionellaceae",-0.281092832161906,-0.915552953245297,-0.530147851219646,0.180072907337608
"Coxiellaceae",1.20635071945206,-1.04469877838282,0.113262530235532,0.0829237856102642
"Alteromonadaceae",-0.656098933575643,-2.9801052012398,-2.13018850373314,0.202046084894642
"Pseudoalteromonadaceae",1.37802385172112,-0.213193567177443,1.13904467561191,0.20022273145279
"Shewanellaceae",-0.997573349673694,-1.10529681349066,-1.364118428893,0.197529295325497
"Colwelliaceae",2.18601515248929,-0.413526657835153,1.26085198889122,0.0993523852156595
"Xanthomonadaceae",1.44161342188554,-1.80410399633258,-0.222340289565455,0.194946976989853
"Vibrionaceae",-0.801846197402358,-0.372260155713599,-0.448862989628829,0.21371860194358
"Aeromonadaceae",-0.576937169874664,-1.2935455722511,-1.08676058684659,0.179404305923943
"Alcanivoracaceae",0.461509650656464,-0.728119082036547,-0.112132895398814,0.0863906367820428
"Halomonadaceae",1.12530028448003,-0.815949216841781,0.0842659575777689,0.169583201895956
"Saccharospirillaceae",0.856176216709916,-1.48597009866568,-0.284271657514424,0.0930391539000496
"Oceanospirillaceae",-2.45106126200453,-1.12238715981115,-2.201531677292,0.145402104117327
"Cellvibrionaceae",-2.14541846552707,-3.58888312188828,-3.68130432382414,0.160706657673929
"Halieaceae",-2.88052375214025,-2.88858492037539,-3.56050439273244,0.085401646019741
"Spongiibacteraceae",-1.25885111891739,-1.47547448623083,-1.57367713309773,0.0817529040388319
"Francisellaceae",1.36054318408016,-0.742748740783926,0.405731651345121,0.133087107707803
"Piscirickettsiaceae",3.95664862648124,-1.1098662656774,2.17949468390975,0.191130547686297
"Chromatiaceae",4.16807716009699,0.103633371480636,2.82551651214713,0.162949786105495
"Ectothiorhodospiraceae",0.517325827230011,-2.37430085371282,-1.09754644301367,0.130359135456277
"Halothiobacillaceae",-1.34037167132621,-1.43731181451005,-1.80556329894878,0.0598126678297542
"Acidiferrobacteraceae",1.22358075524707,-2.59600305010461,-0.902872337516712,0.0396620540913116
"Pasteurellaceae",-3.86058130690022,-1.84195200808844,-3.61545985595185,0.20511531666474
