"","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"Pseudomonadaceae",-0.868241088952464,-2.17949671095756,-2.15562316349427,0.201085069531452
"Enterobacteriaceae",-1.60789680482163,-1.59084192634214,-2.03026576478792,0.198734833576573
"Erwiniaceae",-2.74804672571295,-0.274642718121709,-2.33684645118562,0.155878136000064
"Morganellaceae",-1.02778520954542,-2.51920309411979,-2.38555959129729,0.174909908560886
"Yersiniaceae",2.20737047248809,-0.980451228451282,0.741331664383482,0.203561506459832
"Pectobacteriaceae",0.159046859400749,-1.67055039256204,-1.26417988768841,0.173149904074492
"Hafniaceae",-0.429287075562134,-1.5908303446737,-1.49719067888315,0.094180618927529
"Budviciaceae",1.5857085219015,-1.33778097054963,0.372045205943253,0.0900424645016848
"Legionellaceae",-1.44933295076679,-1.58303994970125,-2.1330918210969,0.180972233381579
"Coxiellaceae",2.41889050477342,-0.0610987189730685,1.52121236459288,0.0808860596237695
"Alteromonadaceae",-2.88369825691542,-2.88202762203738,-3.82760843852576,0.178409273862897
"Pseudoalteromonadaceae",-0.558093900503358,-1.75536583953687,-1.26352637852363,0.182275734103351
"Shewanellaceae",-0.789636001990211,-2.35568952209346,-1.90788876709923,0.196991932954364
"Colwelliaceae",-0.680778929405664,0.924376498976347,0.0655986438219195,0.103200984006913
"Xanthomonadaceae",1.01147240721851,-2.20888797467491,-0.757810616503989,0.213914057461118
"Vibrionaceae",1.32550464030577,-2.16420799666171,-0.578728837186286,0.194150635888951
"Aeromonadaceae",2.1024877091076,-0.995868001351651,0.650793890664478,0.191820883499149
"Alcanivoracaceae",-2.54982061263909,-3.24724337281176,-4.21522907281935,0.0779886752780208
"Halomonadaceae",0.187489596573385,0.962983344899283,0.661727070176482,0.178402812503663
"Saccharospirillaceae",0.632010368607181,-0.444529328447477,0.323242321476203,0.093102317221525
"Oceanospirillaceae",-1.45138159344477,-1.56404741397115,-1.9673028935388,0.151143156553229
"Cellvibrionaceae",-1.31488314061311,-0.230109527940952,-0.940121675119349,0.165641520235667
"Halieaceae",-0.0378269936018894,-2.46069659153566,-1.37358226346794,0.0879264828534717
"Spongiibacteraceae",-1.2187992715163,-2.87151645519166,-2.85713879171666,0.0832295507164192
"Francisellaceae",1.0330251074822,-0.0484320759691543,0.954449232091349,0.115051224768223
"Piscirickettsiaceae",3.84274221252666,-2.98191425941285,0.886377493701803,0.185058529815628
"Chromatiaceae",3.32302107405234,-0.915048060044124,1.5192196949374,0.16690014303948
"Ectothiorhodospiraceae",-1.29730186042009,-0.68666594436951,-1.07709871657406,0.139335907649988
"Halothiobacillaceae",-0.627040434256036,-2.65254899420294,-1.96918939867924,0.0534685794527844
"Acidiferrobacteraceae",1.70711878228608,-2.61511784155661,-0.515861509267039,0.0385063979877146
"Pasteurellaceae",-0.636136762285771,-1.8208339742562,-1.45249925637737,0.175791749105899
"Candidatus.Paracaedibacteraceae",-2.09173873876805,-0.706883038207806,-1.48074000313416,0.10614109388739
"Caedimonadaceae",-1.0001000150025,-1.0001000150025,-1.41449648996668,0.00687326014680879
"Pelagibacteraceae",2.24977772409112,-0.741921054762006,1.00372767426216,0.119293301449657
"Rhizobiaceae",4.72771186626937,-1.05913872110901,2.55783717665055,0.210112646614424
"Bradyrhizobiaceae",2.52235567607137,-1.94786909027458,0.785039471752025,0.214381324037154
"Methylobacteriaceae",1.96423861029158,-0.198082255123198,1.07178582556892,0.151950010529888
"Phyllobacteriaceae",4.49605158279873,0.474199987558863,3.26548679987672,0.148023730005612
"Xanthobacteraceae",2.33589753130262,-0.76803009717624,1.2662109861591,0.0907098917310589
"Hyphomicrobiaceae",2.51452861914559,-0.33165101193982,1.475609087466,0.115658963611391
"Beijerinckiaceae",1.62958040602212,0.0898030895766051,1.39352831106815,0.0561620022229723
"Brucellaceae",1.37867265142708,0.347887055758387,0.920078615039087,0.0964982034430225
"Aurantimonadaceae",-2.58880481139021,-0.978358481176856,-2.36562410499381,0.0613812148771104
"Chelatococcaceae",-1.17761869415661,1.0155421338073,-0.0377519615462734,0.071872732126151
"Rhodobacteraceae",-1.33151136174393,-0.781675969877317,-1.41015481989189,0.187612118974499
"Acetobacteraceae",-0.367403912903053,-0.763759493401965,-0.729191664425469,0.164603080087852
"Rhodospirillaceae",4.49658076488762,-1.59901802291551,2.30826977494202,0.191528634921935
"Sphingomonadaceae",-1.61041608038066,-2.14967941348555,-2.39737098785743,0.186294726294737
"Erythrobacteraceae",0.946979942062019,-1.28112047015728,-0.205680828553029,0.137826424507142
"Caulobacteraceae",1.96521556969444,-1.7867620108839,0.0722914278726431,0.149856452474502
"Rickettsiaceae",1.81497555359957,-1.170491118659,0.555277867555751,0.0843427935959423
"Anaplasmataceae",2.06820263772263,-0.69944001226864,0.803333861468931,0.13328782003931
"Burkholderiaceae",-1.43010249225431,-1.19444556615462,-1.87286216092835,0.19145157955878
"Alcaligenaceae",-0.685613960500692,-1.44864720730682,-1.20501822007201,0.197781763454652
"Oxalobacteraceae",-1.77090829370749,-2.04383786979543,-2.37764138768335,0.188900857943564
"Comamonadaceae",-0.249104337942566,-1.96568475407571,-1.45131282839713,0.166499055802567
"Neisseriaceae",-4.27710351908187,-3.12777468212591,-4.46359174876413,0.136166462660268
"Zoogloeaceae",1.27886938823115,-0.51026083749166,0.557522815142004,0.127392247709084
"Azonexaceae",0.831628557311013,1.12135608882843,1.08133827392595,0.05521354157189
"Nitrosomonadaceae",0.159572160288663,-0.597269621615827,-0.405434729418555,0.145142736026721
